Version,Field Name,Level 1 (ROOT),Level 2,Level 3,Level 4,Level 5,Level 6,Description,Value Example,Data Type,Max Length,Mapping Type,QC-GRAB,Column1,Column2
1,GroupId,,,GroupId,,,,,,string,,None,,,
1,ProductStatusId,,,ProductStatusId,,,,,,string,,None,,,
1,LatestReleaseDate,,,LatestReleaseDate,,,,,,datetime,,None,,,
1,AsnId,,AsnId,,,,,,,string,,None,,,
1,PaymentGroupId,,PaymentGroupId,,,,,,,string,,None,,,
1,ShipToLocationId,,ShipToLocationId,,,,,,,string,,None,,,
1,EffectiveRank,,EffectiveRank,,,,,,,string,,None,,,
1,Mode,,Mode,,,,,,,string,,None,,,
1,ShipViaId,,ShipViaId,,,,,,,string,,None,,,
1,IsSerialNumberRequired,,,IsSerialNumberRequired,,,,,,boolean,,None,,,
1,PickLocAssignmentType,,,PickLocAssignmentType,,,,,,string,,None,,,
1,CubeMultipleQty,,,CubeMultipleQty,,,,,,string,,None,,,
1,LPNBreakAttribute,,,LPNBreakAttribute,,,,,,string,,None,,,
1,OrganizationId,,,OrganizationId,,,,,,string,,None,,,
1,ItemBreakAttribute,,,ItemBreakAttribute,,,,,,string,,None,,,
1,SingleUnit,,,SingleUnit,,,,,,string,,None,,,
1,UnitWeight,,,UnitWeight,,,,,,string,,None,,,
1,ExtendedFields,,,ExtendedFields,,,,,,string,,None,,,
1,ParentOrderLine,,,ParentOrderLine,,,,,,string,,None,,,
1,UnitVolume,,,UnitVolume,,,,,,string,,None,,,
1,ExportInfoCode,,,ExportInfoCode,,,,,,string,,None,,,
1,WaveProcessType,,,WaveProcessType,,,,,,string,,None,,,
1,ItemPrice,,,ItemPrice,,,,,,string,,None,,,
1,CriticalDimension3,,,CriticalDimension3,,,,,,string,,None,,,
1,PickTicketControlNumber,,,PickTicketControlNumber,,,,,,string,,None,,,
1,CriticalDimension2,,,CriticalDimension2,,,,,,string,,None,,,
1,PickUpReferenceNumber,,,PickUpReferenceNumber,,,,,,string,,None,,,
1,CriticalDimension1,,,CriticalDimension1,,,,,,string,,None,,,
1,PriceTicketType,,,PriceTicketType,,,,,,string,,None,,,
1,Price,,,Price,,,,,,string,,None,,,
1,BatchRequirementType,,,BatchRequirementType,,,,,,string,,None,,,
1,DeliveryReferenceNumber,,,DeliveryReferenceNumber,,,,,,string,,None,,,
1,PK,,,PK,,,,,,string,,None,,,
1,VASProcessType,,,VASProcessType,,,,,,string,,None,,,
1,CancelReasonId,,CancelReasonId,,,,,,,string,,None,,,
1,ParentItemId,,ParentItemId,,,,,,,string,,None,,,
1,RequestedDeliveryDate,,RequestedDeliveryDate,,,,,,,datetime,,None,,,
1,CarrierCode,,CarrierCode,,,,,,,string,,None,,,
1,InternalGoodsDescription,,InternalGoodsDescription,,,,,,,string,,None,,,
1,AccountReceivableCode,,AccountReceivableCode,,,,,,,string,,None,,,
1,IsAutoCreateBlocked,,IsAutoCreateBlocked,,,,,,,boolean,,None,,,
1,ShipLocationControl,,ShipLocationControl,,,,,,,string,,None,,,
1,ScheduleDeliveryDate,,ScheduleDeliveryDate,,,,,,,datetime,,None,,,
1,GlobalLocationNumber,,GlobalLocationNumber,,,,,,,string,,None,,,
1,AdvertisingCode,,AdvertisingCode,,,,,,,string,,None,,,
1,MovementOption,,MovementOption,,,,,,,string,,None,,,
1,ShipmentPlanningScheduleDay,,ShipmentPlanningScheduleDay,,,,,,,string,,None,,,
1,IsCartonMinWeight,,IsCartonMinWeight,,,,,,,boolean,,None,,,
1,IsBackOrdered,,IsBackOrdered,,,,,,,boolean,,None,,,
